"personid","site_code","dob","dod","father","mother"
"ex0063","EX","2010-99-99",NA,NA,NA
"ex0064","EX","2010-99-99",NA,"ex0060","ex0061"
"ex0065","EX","2016-99-99",NA,"ex0060","ex0061"
"ex0066","EX","2004-99-99",NA,"ex0060","ex0061"
"ex0067","EX","1977-99-99",NA,"ex8035","ex0030"
"ex0068","EX","1981-99-99",NA,"ex8036","ex0217"
"ex0069","EX","2018-99-99",NA,NA,NA
"ex0070","EX","2010-99-99",NA,NA,NA
"ex0071","EX","2020-99-99",NA,"ex0067","ex0068"
"ex0072","EX","2003-99-99",NA,"ex0067","ex0068"
"ex0073","EX","2021-99-99",NA,"ex0067","ex0068"
"ex0074","EX","1968-99-99",NA,"ex8037","ex0012"
"ex0075","EX","1990-99-99",NA,"ex8038","ex8039"
"ex0076","EX","2021-99-99",NA,"ex0074","ex0075"
"ex0077","EX","1999-99-99",NA,NA,NA
"ex0078","EX","1981-99-99",NA,"ex8040","ex8041"
"ex0079","EX","1984-99-99",NA,"ex8042","ex8043"
"ex0080","EX","2018-99-99",NA,"ex0078","ex0079"
"ex0081","EX","2021-99-99",NA,NA,NA
"ex0082","EX","2003-99-99",NA,NA,NA
"ex0083","EX","2000-99-99",NA,NA,NA
"ex0084","EX","1979-99-99",NA,"ex0078","ex8044"
"ex0085","EX","1989-99-99",NA,"ex8045","ex0128"
"ex0086","EX","2006-99-99",NA,"ex0084","ex0085"
"ex0087","EX","2020-99-99",NA,"ex0084","ex0085"
"ex0088","EX","1964-99-99",NA,"ex8046","ex8047"
"ex0089","EX","1988-99-99",NA,"ex0041","ex8048"
"ex0090","EX","2002-99-99",NA,NA,NA
"ex0091","EX","1976-99-99",NA,"ex8049","ex8050"
"ex0092","EX","1972-99-99",NA,"ex8051","ex8052"
"ex0093","EX","1999-99-99",NA,"ex0091","ex0092"
"ex0094","EX","2020-99-99",NA,"ex0091","ex0092"
"ex0095","EX","2001-99-99",NA,"ex0091","ex0092"
"ex0096","EX","1998-99-99",NA,"ex0091","ex0092"
"ex0097","EX","2011-99-99",NA,"ex0091","ex0092"
"ex0098","EX","1965-99-99",NA,"ex8053","ex8054"
"ex0099","EX","1975-99-99",NA,"ex8055","ex0128"
"ex0100","EX","2015-99-99",NA,"ex0098","ex0099"
"ex0101","EX","1999-99-99",NA,"ex0098","ex0099"
"ex0102","EX","2021-99-99",NA,NA,NA
"ex0103","EX","1974-99-99",NA,"ex8056","ex8057"
"ex0104","EX","1993-99-99",NA,"ex8058","ex8059"
"ex0105","EX","2015-99-99",NA,"ex0103","ex0104"
"ex0106","EX","2004-99-99",NA,NA,NA
"ex0107","EX","2014-99-99",NA,"ex0103","ex0104"
"ex0108","EX","1981-99-99",NA,"ex8060","ex8061"
"ex0109","EX","1987-99-99",NA,"ex8062","ex8063"
"ex0110","EX","2009-99-99",NA,NA,NA
"ex0111","EX","2013-99-99",NA,"ex0108","ex0109"
"ex0112","EX","2016-99-99",NA,NA,NA
"ex0113","EX","2013-99-99",NA,NA,NA
"ex0114","EX","2006-99-99",NA,NA,NA
"ex0115","EX","1978-99-99",NA,"ex8064","ex0089"
"ex0116","EX","1989-99-99",NA,"ex8065","ex8066"
"ex0117","EX","2004-99-99",NA,NA,NA
"ex0118","EX","2012-99-99",NA,"ex0115","ex0116"
"ex0119","EX","2012-99-99",NA,"ex0115","ex0116"
"ex0120","EX","2017-99-99",NA,"ex0115","ex0116"
"ex0121","EX","1978-99-99",NA,"ex8067","ex8068"
"ex0122","EX","1987-99-99",NA,"ex8069","ex8070"
"ex0123","EX","2002-99-99",NA,"ex0121","ex0122"
"ex0124","EX","2010-99-99",NA,NA,NA
"ex0125","EX","2002-99-99",NA,"ex0121","ex0122"
"ex0126","EX","2014-99-99",NA,NA,NA
"ex0127","EX","1981-99-99",NA,"ex8071","ex0363"
"ex0128","EX","1973-99-99",NA,"ex8072","ex0020"
"ex0129","EX","2018-99-99",NA,NA,NA
"ex0130","EX","2002-99-99",NA,NA,NA
"ex0131","EX","2002-99-99",NA,"ex0127","ex0128"
"ex0132","EX","2013-99-99",NA,"ex0127","ex0128"
"ex0133","EX","1967-99-99",NA,"ex8073","ex8074"
"ex0134","EX","1985-99-99",NA,"ex8075","ex8076"
"ex0135","EX","2004-99-99",NA,"ex0133","ex0134"
"ex0136","EX","1999-99-99",NA,NA,NA
"ex0137","EX","2015-99-99",NA,"ex0133","ex0134"
"ex0138","EX","2002-99-99",NA,"ex0133","ex0134"
"ex0139","EX","1970-99-99",NA,"ex0029","ex8077"
"ex0140","EX","1977-99-99",NA,"ex0008","ex8078"
"ex0141","EX","2006-99-99",NA,NA,NA
"ex0142","EX","2007-99-99",NA,"ex0139","ex0140"
"ex0143","EX","2001-99-99",NA,"ex0139","ex0140"
"ex0144","EX","1999-99-99",NA,"ex0139","ex0140"
"ex0145","EX","2016-99-99",NA,NA,NA
"ex0146","EX","1979-99-99",NA,"ex8079","ex8080"
"ex0147","EX","1991-99-99",NA,"ex0160","ex0128"
"ex0148","EX","2006-99-99",NA,"ex0146","ex0147"
"ex0149","EX","1982-99-99",NA,"ex8081","ex0104"
"ex0150","EX","1985-99-99",NA,"ex8082","ex8083"
"ex0151","EX","2001-99-99",NA,NA,NA
"ex0152","EX","2021-99-99",NA,"ex0149","ex0150"
"ex0153","EX","2021-99-99",NA,NA,NA
"ex0154","EX","1983-99-99",NA,"ex8084","ex8085"
"ex0155","EX","1976-99-99",NA,"ex8086","ex0301"
"ex0156","EX","2011-99-99",NA,NA,NA
"ex0157","EX","2006-99-99",NA,"ex0154","ex0155"
"ex0158","EX","2020-99-99",NA,NA,NA
"ex0159","EX","2018-99-99",NA,NA,NA
"ex0160","EX","1977-99-99",NA,"ex0098","ex8087"
"ex0161","EX","1972-99-99",NA,"ex0327","ex0243"
"ex0162","EX","2009-99-99",NA,"ex0160","ex0161"
"ex0163","EX","2021-99-99",NA,NA,NA
"ex0164","EX","2018-99-99",NA,"ex0160","ex0161"
"ex0165","EX","2002-99-99",NA,"ex0160","ex0161"
"ex0166","EX","2021-99-99",NA,"ex0160","ex0161"
"ex0167","EX","1967-99-99",NA,"ex8088","ex8089"
"ex0168","EX","1988-99-99",NA,"ex8090","ex8091"
"ex0169","EX","2010-99-99",NA,"ex0167","ex0168"
"ex0170","EX","1979-99-99",NA,"ex8092","ex8093"
"ex0171","EX","1979-99-99",NA,"ex8094","ex0177"
"ex0172","EX","2009-99-99",NA,NA,NA
"ex0173","EX","2011-99-99",NA,NA,NA
"ex0174","EX","2001-99-99",NA,"ex0170","ex0171"
"ex0175","EX","2014-99-99",NA,NA,NA
"ex0176","EX","1965-99-99",NA,"ex0078","ex0367"
"ex0177","EX","1970-99-99",NA,"ex8095","ex8096"
"ex0178","EX","2015-99-99",NA,"ex0176","ex0177"
"ex0179","EX","2020-99-99",NA,NA,NA
"ex0180","EX","1980-99-99",NA,"ex8097","ex0079"
"ex0181","EX","1973-99-99",NA,"ex8098","ex0199"
"ex0182","EX","2003-99-99",NA,NA,NA
"ex0183","EX","2000-99-99",NA,NA,NA
"ex0184","EX","2013-99-99",NA,NA,NA
"ex0185","EX","2006-99-99",NA,NA,NA
"ex0186","EX","2019-99-99",NA,"ex0180","ex0181"
"ex0187","EX","1971-99-99",NA,"ex8099","ex8100"
"ex0188","EX","1985-99-99",NA,"ex0355","ex0287"
"ex0189","EX","1999-99-99",NA,"ex0187","ex0188"
"ex0190","EX","2010-99-99",NA,NA,NA
"ex0191","EX","1998-99-99",NA,"ex0187","ex0188"
"ex0192","EX","2004-99-99",NA,NA,NA
"ex0193","EX","1964-99-99",NA,"ex8101","ex8102"
"ex0194","EX","1985-99-99",NA,"ex8103","ex0092"
"ex0195","EX","2010-99-99",NA,"ex0193","ex0194"
"ex0196","EX","2005-99-99",NA,"ex0193","ex0194"
"ex0197","EX","2014-99-99",NA,"ex0193","ex0194"
"ex0198","EX","1976-99-99",NA,"ex8104","ex0122"
"ex0199","EX","1977-99-99",NA,"ex0016","ex8105"
"ex0200","EX","2001-99-99",NA,"ex0198","ex0199"
"ex0201","EX","2008-99-99",NA,NA,NA
"ex0202","EX","2022-99-99",NA,"ex0198","ex0199"
"ex0203","EX","2000-99-99",NA,NA,NA
"ex0204","EX","1979-99-99",NA,"ex0008","ex8106"
"ex0205","EX","1973-99-99",NA,"ex8107","ex0367"
"ex0206","EX","2019-99-99",NA,"ex0204","ex0205"
"ex0207","EX","2003-99-99",NA,"ex0204","ex0205"
"ex0208","EX","2012-99-99",NA,"ex0204","ex0205"
"ex0209","EX","1971-99-99",NA,"ex8108","ex8109"
"ex0210","EX","1983-99-99",NA,"ex8110","ex8111"
"ex0211","EX","2010-99-99",NA,NA,NA
"ex0212","EX","2009-99-99",NA,NA,NA
"ex0213","EX","1999-99-99",NA,"ex0209","ex0210"
"ex0214","EX","2014-99-99",NA,"ex0209","ex0210"
"ex0215","EX","2018-99-99",NA,NA,NA
"ex0216","EX","1983-99-99",NA,"ex8112","ex8113"
"ex0217","EX","1983-99-99",NA,"ex8114","ex0128"
"ex0218","EX","2008-99-99",NA,NA,NA
"ex0219","EX","2005-99-99",NA,NA,NA
"ex0220","EX","2007-99-99",NA,"ex0216","ex0217"
"ex0221","EX","1981-99-99",NA,"ex8115","ex8116"
"ex0222","EX","1983-99-99",NA,"ex0036","ex8117"
"ex0223","EX","2000-99-99",NA,NA,NA
"ex0224","EX","2010-99-99",NA,"ex0221","ex0222"
"ex0225","EX","2016-99-99",NA,NA,NA
"ex0226","EX","2016-99-99",NA,"ex0221","ex0222"
"ex0227","EX","1981-99-99",NA,"ex8118","ex8119"
"ex0228","EX","1974-99-99",NA,"ex8120","ex8121"
"ex0229","EX","2004-99-99",NA,"ex0227","ex0228"
"ex0230","EX","1972-99-99",NA,"ex8122","ex0134"
"ex0231","EX","1972-99-99",NA,"ex8123","ex8124"
"ex0232","EX","2021-99-99",NA,NA,NA
"ex0233","EX","2019-99-99",NA,NA,NA
"ex0234","EX","2007-99-99",NA,NA,NA
"ex0235","EX","2012-99-99",NA,NA,NA
"ex0236","EX","1967-99-99",NA,"ex8125","ex8126"
"ex0237","EX","1975-99-99",NA,"ex8127","ex8128"
"ex0238","EX","2012-99-99",NA,"ex0236","ex0237"
"ex0239","EX","2012-99-99",NA,NA,NA
"ex0240","EX","2015-99-99",NA,"ex0236","ex0237"
"ex0241","EX","2018-99-99",NA,"ex0236","ex0237"
"ex0242","EX","1976-99-99",NA,"ex0315","ex8129"
"ex0243","EX","1993-99-99",NA,"ex8130","ex8131"
"ex0244","EX","2015-99-99",NA,NA,NA
"ex0245","EX","2020-99-99",NA,"ex0242","ex0243"
"ex0246","EX","2020-99-99",NA,NA,NA
"ex0247","EX","2003-99-99",NA,NA,NA
"ex0248","EX","2013-99-99",NA,NA,NA
"ex0249","EX","1965-99-99",NA,"ex8132","ex0188"
"ex0250","EX","1979-99-99",NA,"ex8133","ex8134"
"ex0251","EX","2008-99-99",NA,NA,NA
"ex0252","EX","1986-99-99",NA,"ex8135","ex0068"
"ex0253","EX","1987-99-99",NA,"ex8136","ex8137"
"ex0254","EX","2017-99-99",NA,NA,NA
"ex0255","EX","2006-99-99",NA,"ex0252","ex0253"
"ex0256","EX","2014-99-99",NA,"ex0252","ex0253"
"ex0257","EX","2013-99-99",NA,NA,NA
"ex0258","EX","1982-99-99",NA,"ex8138","ex8139"
"ex0259","EX","1990-99-99",NA,"ex8140","ex8141"
"ex0260","EX","2018-99-99",NA,NA,NA
"ex0261","EX","2021-99-99",NA,NA,NA
"ex0262","EX","1971-99-99",NA,"ex8142","ex0296"
"ex0263","EX","1974-99-99",NA,"ex8143","ex0092"
"ex0264","EX","2010-99-99",NA,"ex0262","ex0263"
"ex0265","EX","1999-99-99",NA,"ex0262","ex0263"
"ex0266","EX","1988-99-99",NA,"ex8144","ex0231"
"ex0267","EX","1973-99-99",NA,"ex8145","ex8146"
"ex0268","EX","2011-99-99",NA,"ex0266","ex0267"
"ex0269","EX","2018-99-99",NA,NA,NA
"ex0270","EX","2020-99-99",NA,"ex0266","ex0267"
"ex0271","EX","2012-99-99",NA,"ex0266","ex0267"
"ex0272","EX","2002-99-99",NA,NA,NA
"ex0273","EX","1967-99-99",NA,"ex8147","ex8148"
"ex0274","EX","1973-99-99",NA,"ex8149","ex0012"
"ex0275","EX","2002-99-99",NA,"ex0273","ex0274"
"ex0276","EX","2000-99-99",NA,NA,NA
"ex0277","EX","2003-99-99",NA,"ex0273","ex0274"
"ex0278","EX","2022-99-99",NA,NA,NA
"ex0279","EX","2014-99-99",NA,"ex0273","ex0274"
"ex0280","EX","1977-99-99",NA,"ex8150","ex8151"
"ex0281","EX","1974-99-99",NA,"ex0008","ex8152"
"ex0282","EX","2002-99-99",NA,"ex0280","ex0281"
"ex0283","EX","2010-99-99",NA,"ex0280","ex0281"
"ex0284","EX","2005-99-99",NA,"ex0280","ex0281"
"ex0285","EX","2013-99-99",NA,NA,NA
"ex0286","EX","1984-99-99",NA,"ex8153","ex0316"
"ex0287","EX","1973-99-99",NA,"ex8154","ex8155"
"ex0288","EX","2007-99-99",NA,NA,NA
"ex0289","EX","2002-99-99",NA,NA,NA
"ex0290","EX","2008-99-99",NA,"ex0286","ex0287"
"ex0291","EX","2014-99-99",NA,"ex0286","ex0287"
"ex0292","EX","1983-99-99",NA,"ex8156","ex8157"
"ex0293","EX","1987-99-99",NA,"ex8158","ex8159"
"ex0294","EX","2005-99-99",NA,"ex0292","ex0293"
"ex0295","EX","1985-99-99",NA,"ex8160","ex0147"
"ex0296","EX","1992-99-99",NA,"ex0011","ex8161"
"ex0297","EX","2006-99-99",NA,"ex0295","ex0296"
"ex0298","EX","2008-99-99",NA,"ex0295","ex0296"
"ex0299","EX","2006-99-99",NA,NA,NA
"ex0300","EX","1977-99-99",NA,"ex0103","ex0017"
"ex0301","EX","1987-99-99",NA,"ex0359","ex8162"
"ex0302","EX","2021-99-99",NA,NA,NA
"ex0303","EX","1998-99-99",NA,"ex0300","ex0301"
"ex0304","EX","2002-99-99",NA,"ex0300","ex0301"
"ex0305","EX","2017-99-99",NA,"ex0300","ex0301"
"ex0306","EX","2007-99-99",NA,"ex0300","ex0301"
"ex0307","EX","1975-99-99",NA,"ex8163","ex8164"
"ex0308","EX","1985-99-99",NA,"ex8165","ex8166"
"ex0309","EX","2009-99-99",NA,"ex0307","ex0308"
"ex0310","EX","2018-99-99",NA,"ex0307","ex0308"
"ex0311","EX","2016-99-99",NA,"ex0307","ex0308"
"ex0312","EX","1969-99-99",NA,"ex8167","ex8168"
"ex0313","EX","1992-99-99",NA,"ex8169","ex8170"
"ex0314","EX","1998-99-99",NA,NA,NA
"ex0315","EX","1971-99-99",NA,"ex8171","ex8172"
"ex0316","EX","1969-99-99",NA,"ex8173","ex8174"
"ex0317","EX","2000-99-99",NA,NA,NA
"ex0318","EX","2003-99-99",NA,"ex0315","ex0316"
"ex0319","EX","2012-99-99",NA,NA,NA
"ex0320","EX","1971-99-99",NA,"ex8175","ex8176"
"ex0321","EX","1970-99-99",NA,"ex8177","ex0109"
"ex0322","EX","2020-99-99",NA,NA,NA
"ex0323","EX","2011-99-99",NA,"ex0320","ex0321"
"ex0324","EX","2022-99-99",NA,NA,NA
"ex0325","EX","2009-99-99",NA,"ex0320","ex0321"
"ex0326","EX","2013-99-99",NA,"ex0320","ex0321"
"ex0327","EX","1971-99-99",NA,"ex8178","ex8179"
"ex0328","EX","1986-99-99",NA,"ex8180","ex0228"
"ex0329","EX","2005-99-99",NA,"ex0327","ex0328"
"ex0330","EX","2014-99-99",NA,NA,NA
"ex0331","EX","2016-99-99",NA,"ex0327","ex0328"
"ex0332","EX","2014-99-99",NA,NA,NA
"ex0333","EX","2003-99-99",NA,NA,NA
"ex0334","EX","1983-99-99",NA,"ex0060","ex8181"
"ex0335","EX","1982-99-99",NA,"ex8182","ex8183"
"ex0336","EX","2008-99-99",NA,"ex0334","ex0335"
"ex0337","EX","2011-99-99",NA,"ex0334","ex0335"
"ex0338","EX","1978-99-99",NA,"ex0167","ex8184"
"ex0339","EX","1970-99-99",NA,"ex8185","ex0231"
"ex0340","EX","2006-99-99",NA,"ex0338","ex0339"
"ex0341","EX","2016-99-99",NA,"ex0338","ex0339"
"ex0342","EX","2003-99-99",NA,"ex0338","ex0339"
"ex0343","EX","2004-99-99",NA,NA,NA
"ex0344","EX","1971-99-99",NA,"ex0098","ex0250"
"ex0345","EX","1983-99-99",NA,"ex8186","ex0308"
"ex0346","EX","2019-99-99",NA,NA,NA
"ex0347","EX","2013-99-99",NA,"ex0344","ex0345"
"ex0348","EX","1999-99-99",NA,"ex0344","ex0345"
"ex0349","EX","1978-99-99",NA,"ex8187","ex0171"
"ex0350","EX","1990-99-99",NA,"ex0312","ex0210"
"ex0351","EX","2016-99-99",NA,"ex0349","ex0350"
"ex0352","EX","2014-99-99",NA,"ex0349","ex0350"
"ex0353","EX","2010-99-99",NA,NA,NA
"ex0354","EX","2018-99-99",NA,NA,NA
"ex0355","EX","1986-99-99",NA,"ex8188","ex0068"
"ex0356","EX","1989-99-99",NA,"ex0001","ex8189"
"ex0357","EX","2004-99-99",NA,NA,NA
"ex0358","EX","2003-99-99",NA,"ex0355","ex0356"
"ex0359","EX","1964-99-99",NA,"ex8190","ex0002"
"ex0360","EX","1987-99-99",NA,"ex8191","ex8192"
"ex0361","EX","2017-99-99",NA,NA,NA
"ex0362","EX","1970-99-99",NA,"ex8193","ex0301"
"ex0363","EX","1972-99-99",NA,"ex8194","ex8195"
"ex0364","EX","2005-99-99",NA,"ex0362","ex0363"
"ex0365","EX","2021-99-99",NA,NA,NA
"ex0366","EX","1974-99-99",NA,"ex8196","ex8197"
"ex0367","EX","1989-99-99",NA,"ex0221","ex8198"
"ex0368","EX","2021-99-99",NA,"ex0366","ex0367"
"ex8001","EX",NA,NA,NA,NA
"ex8002","EX",NA,NA,NA,NA
"ex8003","EX",NA,NA,NA,NA
"ex8004","EX",NA,NA,NA,NA
"ex8005","EX",NA,NA,NA,NA
"ex8006","EX",NA,NA,NA,NA
"ex8007","EX",NA,NA,NA,NA
"ex8008","EX",NA,NA,NA,NA
"ex8009","EX",NA,NA,NA,NA
"ex8010","EX",NA,NA,NA,NA
"ex8011","EX",NA,NA,NA,NA
"ex8012","EX",NA,NA,NA,NA
"ex8013","EX",NA,NA,NA,NA
"ex8014","EX",NA,NA,NA,NA
"ex8015","EX",NA,NA,NA,NA
"ex8016","EX",NA,NA,NA,NA
"ex8017","EX",NA,NA,NA,NA
"ex8018","EX",NA,NA,NA,NA
"ex8019","EX",NA,NA,NA,NA
"ex8020","EX",NA,NA,NA,NA
"ex8021","EX",NA,NA,NA,NA
"ex8022","EX",NA,NA,NA,NA
"ex8023","EX",NA,NA,NA,NA
"ex8024","EX",NA,NA,NA,NA
"ex8025","EX",NA,NA,NA,NA
"ex8026","EX",NA,NA,NA,NA
"ex8027","EX",NA,NA,NA,NA
"ex8028","EX",NA,NA,NA,NA
"ex8029","EX",NA,NA,NA,NA
"ex8030","EX",NA,NA,NA,NA
"ex8031","EX",NA,NA,NA,NA
"ex8032","EX",NA,NA,NA,NA
"ex8033","EX",NA,NA,NA,NA
"ex8034","EX",NA,NA,NA,NA
"ex8035","EX",NA,NA,NA,NA
"ex8036","EX",NA,NA,NA,NA
"ex8037","EX",NA,NA,NA,NA
"ex8038","EX",NA,NA,NA,NA
"ex8039","EX",NA,NA,NA,NA
"ex8040","EX",NA,NA,NA,NA
"ex8041","EX",NA,NA,NA,NA
"ex8042","EX",NA,NA,NA,NA
"ex8043","EX",NA,NA,NA,NA
"ex8044","EX",NA,NA,NA,NA
"ex8045","EX",NA,NA,NA,NA
"ex8046","EX",NA,NA,NA,NA
"ex8047","EX",NA,NA,NA,NA
"ex8048","EX",NA,NA,NA,NA
"ex8049","EX",NA,NA,NA,NA
"ex8050","EX",NA,NA,NA,NA
"ex8051","EX",NA,NA,NA,NA
"ex8052","EX",NA,NA,NA,NA
"ex8053","EX",NA,NA,NA,NA
"ex8054","EX",NA,NA,NA,NA
"ex8055","EX",NA,NA,NA,NA
"ex8056","EX",NA,NA,NA,NA
"ex8057","EX",NA,NA,NA,NA
"ex8058","EX",NA,NA,NA,NA
"ex8059","EX",NA,NA,NA,NA
"ex8060","EX",NA,NA,NA,NA
"ex8061","EX",NA,NA,NA,NA
"ex8062","EX",NA,NA,NA,NA
"ex8063","EX",NA,NA,NA,NA
"ex8064","EX",NA,NA,NA,NA
"ex8065","EX",NA,NA,NA,NA
"ex8066","EX",NA,NA,NA,NA
"ex8067","EX",NA,NA,NA,NA
"ex8068","EX",NA,NA,NA,NA
"ex8069","EX",NA,NA,NA,NA
"ex8070","EX",NA,NA,NA,NA
"ex8071","EX",NA,NA,NA,NA
"ex8072","EX",NA,NA,NA,NA
"ex8073","EX",NA,NA,NA,NA
"ex8074","EX",NA,NA,NA,NA
"ex8075","EX",NA,NA,NA,NA
"ex8076","EX",NA,NA,NA,NA
"ex8077","EX",NA,NA,NA,NA
"ex8078","EX",NA,NA,NA,NA
"ex8079","EX",NA,NA,NA,NA
"ex8080","EX",NA,NA,NA,NA
"ex8081","EX",NA,NA,NA,NA
"ex8082","EX",NA,NA,NA,NA
"ex8083","EX",NA,NA,NA,NA
"ex8084","EX",NA,NA,NA,NA
"ex8085","EX",NA,NA,NA,NA
"ex8086","EX",NA,NA,NA,NA
"ex8087","EX",NA,NA,NA,NA
"ex8088","EX",NA,NA,NA,NA
"ex8089","EX",NA,NA,NA,NA
"ex8090","EX",NA,NA,NA,NA
"ex8091","EX",NA,NA,NA,NA
"ex8092","EX",NA,NA,NA,NA
"ex8093","EX",NA,NA,NA,NA
"ex8094","EX",NA,NA,NA,NA
"ex8095","EX",NA,NA,NA,NA
"ex8096","EX",NA,NA,NA,NA
"ex8097","EX",NA,NA,NA,NA
"ex8098","EX",NA,NA,NA,NA
"ex8099","EX",NA,NA,NA,NA
"ex8100","EX",NA,NA,NA,NA
"ex8101","EX",NA,NA,NA,NA
"ex8102","EX",NA,NA,NA,NA
"ex8103","EX",NA,NA,NA,NA
"ex8104","EX",NA,NA,NA,NA
"ex8105","EX",NA,NA,NA,NA
"ex8106","EX",NA,NA,NA,NA
"ex8107","EX",NA,NA,NA,NA
"ex8108","EX",NA,NA,NA,NA
"ex8109","EX",NA,NA,NA,NA
"ex8110","EX",NA,NA,NA,NA
"ex8111","EX",NA,NA,NA,NA
"ex8112","EX",NA,NA,NA,NA
"ex8113","EX",NA,NA,NA,NA
"ex8114","EX",NA,NA,NA,NA
"ex8115","EX",NA,NA,NA,NA
"ex8116","EX",NA,NA,NA,NA
"ex8117","EX",NA,NA,NA,NA
"ex8118","EX",NA,NA,NA,NA
"ex8119","EX",NA,NA,NA,NA
"ex8120","EX",NA,NA,NA,NA
"ex8121","EX",NA,NA,NA,NA
"ex8122","EX",NA,NA,NA,NA
"ex8123","EX",NA,NA,NA,NA
"ex8124","EX",NA,NA,NA,NA
"ex8125","EX",NA,NA,NA,NA
"ex8126","EX",NA,NA,NA,NA
"ex8127","EX",NA,NA,NA,NA
"ex8128","EX",NA,NA,NA,NA
"ex8129","EX",NA,NA,NA,NA
"ex8130","EX",NA,NA,NA,NA
"ex8131","EX",NA,NA,NA,NA
"ex8132","EX",NA,NA,NA,NA
"ex8133","EX",NA,NA,NA,NA
"ex8134","EX",NA,NA,NA,NA
"ex8135","EX",NA,NA,NA,NA
"ex8136","EX",NA,NA,NA,NA
"ex8137","EX",NA,NA,NA,NA
"ex8138","EX",NA,NA,NA,NA
"ex8139","EX",NA,NA,NA,NA
"ex8140","EX",NA,NA,NA,NA
"ex8141","EX",NA,NA,NA,NA
"ex8142","EX",NA,NA,NA,NA
"ex8143","EX",NA,NA,NA,NA
"ex8144","EX",NA,NA,NA,NA
"ex8145","EX",NA,NA,NA,NA
"ex8146","EX",NA,NA,NA,NA
"ex8147","EX",NA,NA,NA,NA
"ex8148","EX",NA,NA,NA,NA
"ex8149","EX",NA,NA,NA,NA
"ex8150","EX",NA,NA,NA,NA
