"personid","site_code","dob","dod","father","mother"
"sm0165","SM","2003-99-99",NA,"sm0163","sm0164"
"sm0166","SM","2010-99-99",NA,"sm0163","sm0164"
"sm0167","SM","2007-99-99",NA,"sm0163","sm0164"
"sm0168","SM","2012-99-99",NA,NA,NA
"sm0169","SM","1964-99-99",NA,"sm8098","sm8099"
"sm0170","SM","1984-99-99",NA,"sm8100","sm0264"
"sm0171","SM","2009-99-99",NA,"sm0169","sm0170"
"sm0172","SM","2018-99-99",NA,NA,NA
"sm0173","SM","2010-99-99",NA,NA,NA
"sm0174","SM","2002-99-99",NA,"sm0169","sm0170"
"sm0175","SM","1978-99-99",NA,"sm8101","sm0435"
"sm0176","SM","1983-99-99",NA,"sm8102","sm8103"
"sm0177","SM","2015-99-99",NA,NA,NA
"sm0178","SM","2006-99-99",NA,NA,NA
"sm0179","SM","2013-99-99",NA,"sm0175","sm0176"
"sm0180","SM","1982-99-99",NA,"sm8104","sm0484"
"sm0181","SM","1988-99-99",NA,"sm8105","sm0041"
"sm0182","SM","2018-99-99",NA,"sm0180","sm0181"
"sm0183","SM","2008-99-99",NA,"sm0180","sm0181"
"sm0184","SM","1999-99-99",NA,NA,NA
"sm0185","SM","2000-99-99",NA,NA,NA
"sm0186","SM","1978-99-99",NA,"sm8106","sm0148"
"sm0187","SM","1976-99-99",NA,"sm0359","sm8107"
"sm0188","SM","2008-99-99",NA,"sm0186","sm0187"
"sm0189","SM","2017-99-99",NA,"sm0186","sm0187"
"sm0190","SM","2010-99-99",NA,"sm0186","sm0187"
"sm0191","SM","1988-99-99",NA,"sm8108","sm8109"
"sm0192","SM","1974-99-99",NA,"sm8110","sm8111"
"sm0193","SM","2021-99-99",NA,NA,NA
"sm0194","SM","2011-99-99",NA,"sm0191","sm0192"
"sm0195","SM","2014-99-99",NA,NA,NA
"sm0196","SM","2007-99-99",NA,"sm0191","sm0192"
"sm0197","SM","1985-99-99",NA,"sm8112","sm8113"
"sm0198","SM","1983-99-99",NA,"sm0477","sm0294"
"sm0199","SM","2002-99-99",NA,NA,NA
"sm0200","SM","2003-99-99",NA,"sm0197","sm0198"
"sm0201","SM","2011-99-99",NA,NA,NA
"sm0202","SM","2000-99-99",NA,"sm0197","sm0198"
"sm0203","SM","1981-99-99",NA,"sm8114","sm0289"
"sm0204","SM","1977-99-99",NA,"sm8115","sm8116"
"sm0205","SM","2018-99-99",NA,"sm0203","sm0204"
"sm0206","SM","2017-99-99",NA,NA,NA
"sm0207","SM","2011-99-99",NA,"sm0203","sm0204"
"sm0208","SM","2006-99-99",NA,"sm0203","sm0204"
"sm0209","SM","1986-99-99",NA,"sm0029","sm8117"
"sm0210","SM","1988-99-99",NA,"sm0384","sm8118"
"sm0211","SM","2018-99-99",NA,"sm0209","sm0210"
"sm0212","SM","1967-99-99",NA,"sm8119","sm8120"
"sm0213","SM","1968-99-99",NA,"sm8121","sm0133"
"sm0214","SM","2020-99-99",NA,"sm0212","sm0213"
"sm0215","SM","2017-99-99",NA,NA,NA
"sm0216","SM","2007-99-99",NA,NA,NA
"sm0217","SM","1972-99-99",NA,"sm8122","sm8123"
"sm0218","SM","1973-99-99",NA,"sm8124","sm8125"
"sm0219","SM","1998-99-99",NA,"sm0217","sm0218"
"sm0220","SM","1998-99-99",NA,"sm0217","sm0218"
"sm0221","SM","2016-99-99",NA,NA,NA
"sm0222","SM","1969-99-99",NA,"sm8126","sm8127"
"sm0223","SM","1974-99-99",NA,"sm0434","sm8128"
"sm0224","SM","2008-99-99",NA,"sm0222","sm0223"
"sm0225","SM","2000-99-99",NA,NA,NA
"sm0226","SM","2010-99-99",NA,"sm0222","sm0223"
"sm0227","SM","2006-99-99",NA,"sm0222","sm0223"
"sm0228","SM","1967-99-99",NA,"sm8129","sm0113"
"sm0229","SM","1989-99-99",NA,"sm8130","sm8131"
"sm0230","SM","2002-99-99",NA,NA,NA
"sm0231","SM","2004-99-99",NA,NA,NA
"sm0232","SM","1969-99-99",NA,"sm0112","sm8132"
"sm0233","SM","1988-99-99",NA,"sm0232","sm0210"
"sm0234","SM","2016-99-99",NA,NA,NA
"sm0235","SM","2016-99-99",NA,NA,NA
"sm0236","SM","2009-99-99",NA,NA,NA
"sm0237","SM","1971-99-99",NA,"sm8133","sm8134"
"sm0238","SM","1973-99-99",NA,"sm0058","sm8135"
"sm0239","SM","2017-99-99",NA,NA,NA
"sm0240","SM","2009-99-99",NA,"sm0237","sm0238"
"sm0241","SM","2001-99-99",NA,"sm0237","sm0238"
"sm0242","SM","1975-99-99",NA,"sm8136","sm8137"
"sm0243","SM","1975-99-99",NA,"sm8138","sm0474"
"sm0244","SM","2011-99-99",NA,"sm0242","sm0243"
"sm0245","SM","2018-99-99",NA,"sm0242","sm0243"
"sm0246","SM","2019-99-99",NA,NA,NA
"sm0247","SM","1969-99-99",NA,"sm8139","sm8140"
"sm0248","SM","1977-99-99",NA,"sm8141","sm0021"
"sm0249","SM","2002-99-99",NA,"sm0247","sm0248"
"sm0250","SM","1971-99-99",NA,"sm8142","sm8143"
"sm0251","SM","1986-99-99",NA,"sm8144","sm0160"
"sm0252","SM","2007-99-99",NA,"sm0250","sm0251"
"sm0253","SM","1973-99-99",NA,"sm8145","sm8146"
"sm0254","SM","1969-99-99",NA,"sm0416","sm8147"
"sm0255","SM","2000-99-99",NA,"sm0253","sm0254"
"sm0256","SM","2002-99-99",NA,"sm0253","sm0254"
"sm0257","SM","2017-99-99",NA,NA,NA
"sm0258","SM","1985-99-99",NA,"sm8148","sm8149"
"sm0259","SM","1984-99-99",NA,"sm0437","sm8150"
"sm0260","SM","2012-99-99",NA,"sm0258","sm0259"
"sm0261","SM","2002-99-99",NA,NA,NA
"sm0262","SM","2007-99-99",NA,"sm0258","sm0259"
"sm0263","SM","1970-99-99",NA,"sm0377","sm8151"
"sm0264","SM","1983-99-99",NA,"sm0316","sm8152"
"sm0265","SM","2013-99-99",NA,NA,NA
"sm0266","SM","2004-99-99",NA,"sm0263","sm0264"
"sm0267","SM","2013-99-99",NA,"sm0263","sm0264"
"sm0268","SM","2018-99-99",NA,"sm0263","sm0264"
"sm0269","SM","1984-99-99",NA,"sm8153","sm8154"
"sm0270","SM","1988-99-99",NA,"sm8155","sm8156"
"sm0271","SM","2007-99-99",NA,"sm0269","sm0270"
"sm0272","SM","2017-99-99",NA,"sm0269","sm0270"
"sm0273","SM","2019-99-99",NA,"sm0269","sm0270"
"sm0274","SM","2013-99-99",NA,NA,NA
"sm0275","SM","1968-99-99",NA,"sm8157","sm8158"
"sm0276","SM","1983-99-99",NA,"sm8159","sm8160"
"sm0277","SM","2000-99-99",NA,"sm0275","sm0276"
"sm0278","SM","2014-99-99",NA,"sm0275","sm0276"
"sm0279","SM","2017-99-99",NA,NA,NA
"sm0280","SM","2005-99-99",NA,"sm0275","sm0276"
"sm0281","SM","1982-99-99",NA,"sm0180","sm8161"
"sm0282","SM","1976-99-99",NA,"sm8162","sm0364"
"sm0283","SM","1999-99-99",NA,"sm0281","sm0282"
"sm0284","SM","2009-99-99",NA,"sm0281","sm0282"
"sm0285","SM","2021-99-99",NA,"sm0281","sm0282"
"sm0286","SM","2009-99-99",NA,NA,NA
"sm0287","SM","2010-99-99",NA,"sm0281","sm0282"
"sm0288","SM","1983-99-99",NA,"sm8163","sm8164"
"sm0289","SM","1970-99-99",NA,"sm8165","sm8166"
"sm0290","SM","2016-99-99",NA,"sm0288","sm0289"
"sm0291","SM","2008-99-99",NA,"sm0288","sm0289"
"sm0292","SM","2013-99-99",NA,NA,NA
"sm0293","SM","1964-99-99",NA,"sm8167","sm8168"
"sm0294","SM","1973-99-99",NA,"sm8169","sm8170"
"sm0295","SM","2011-99-99",NA,"sm0293","sm0294"
"sm0296","SM","2014-99-99",NA,"sm0293","sm0294"
"sm0297","SM","2020-99-99",NA,"sm0293","sm0294"
"sm0298","SM","1988-99-99",NA,"sm0051","sm0445"
"sm0299","SM","1982-99-99",NA,"sm8171","sm8172"
"sm0300","SM","2004-99-99",NA,"sm0298","sm0299"
"sm0301","SM","1969-99-99",NA,"sm0494","sm0181"
"sm0302","SM","1973-99-99",NA,"sm8173","sm8174"
"sm0303","SM","2016-99-99",NA,"sm0301","sm0302"
"sm0304","SM","2007-99-99",NA,NA,NA
"sm0305","SM","2012-99-99",NA,NA,NA
"sm0306","SM","2005-99-99",NA,NA,NA
"sm0307","SM","2012-99-99",NA,"sm0301","sm0302"
"sm0308","SM","1975-99-99",NA,"sm8175","sm8176"
"sm0309","SM","1987-99-99",NA,"sm0366","sm8177"
"sm0310","SM","2013-99-99",NA,"sm0308","sm0309"
"sm0311","SM","2012-99-99",NA,"sm0308","sm0309"
"sm0312","SM","1981-99-99",NA,"sm8178","sm8179"
"sm0313","SM","1978-99-99",NA,"sm8180","sm0094"
"sm0314","SM","2014-99-99",NA,NA,NA
"sm0315","SM","2005-99-99",NA,"sm0312","sm0313"
"sm0316","SM","1980-99-99",NA,"sm8181","sm8182"
"sm0317","SM","1970-99-99",NA,"sm8183","sm8184"
"sm0318","SM","2017-99-99",NA,NA,NA
"sm0319","SM","1999-99-99",NA,"sm0316","sm0317"
"sm0320","SM","2019-99-99",NA,"sm0316","sm0317"
"sm0321","SM","1963-99-99",NA,"sm8185","sm8186"
"sm0322","SM","1973-99-99",NA,"sm8187","sm8188"
"sm0323","SM","2018-99-99",NA,"sm0321","sm0322"
"sm0324","SM","1987-99-99",NA,"sm8189","sm0355"
"sm0325","SM","1993-99-99",NA,"sm0143","sm8190"
"sm0326","SM","1998-99-99",NA,"sm0324","sm0325"
"sm0327","SM","2002-99-99",NA,NA,NA
"sm0328","SM","2002-99-99",NA,NA,NA
"sm0329","SM","1967-99-99",NA,"sm0217","sm0113"
"sm0330","SM","1974-99-99",NA,"sm8191","sm8192"
"sm0331","SM","2019-99-99",NA,"sm0329","sm0330"
"sm0332","SM","1978-99-99",NA,"sm0197","sm8193"
"sm0333","SM","1986-99-99",NA,"sm8194","sm0072"
"sm0334","SM","2019-99-99",NA,NA,NA
"sm0335","SM","2012-99-99",NA,"sm0332","sm0333"
"sm0336","SM","2009-99-99",NA,"sm0332","sm0333"
"sm0337","SM","1998-99-99",NA,NA,NA
"sm0338","SM","2017-99-99",NA,NA,NA
"sm0339","SM","1985-99-99",NA,"sm8195","sm8196"
"sm0340","SM","1981-99-99",NA,"sm8197","sm0378"
"sm0341","SM","2022-99-99",NA,"sm0339","sm0340"
"sm0342","SM","1966-99-99",NA,"sm8198","sm8199"
"sm0343","SM","1976-99-99",NA,"sm8200","sm0371"
"sm0344","SM","2000-99-99",NA,"sm0342","sm0343"
"sm0345","SM","2021-99-99",NA,NA,NA
"sm0346","SM","2012-99-99",NA,NA,NA
"sm0347","SM","2008-99-99",NA,"sm0342","sm0343"
"sm0348","SM","1981-99-99",NA,"sm0217","sm8201"
"sm0349","SM","1970-99-99",NA,"sm0263","sm8202"
"sm0350","SM","2020-99-99",NA,NA,NA
"sm0351","SM","1999-99-99",NA,"sm0348","sm0349"
"sm0352","SM","2007-99-99",NA,"sm0348","sm0349"
"sm0353","SM","2020-99-99",NA,"sm0348","sm0349"
"sm0354","SM","1976-99-99",NA,"sm0029","sm8203"
"sm0355","SM","1991-99-99",NA,"sm8204","sm8205"
"sm0356","SM","2012-99-99",NA,"sm0354","sm0355"
"sm0357","SM","2022-99-99",NA,NA,NA
"sm0358","SM","2007-99-99",NA,NA,NA
"sm0359","SM","1983-99-99",NA,"sm0242","sm8206"
"sm0360","SM","1984-99-99",NA,"sm8207","sm8208"
"sm0361","SM","2009-99-99",NA,NA,NA
"sm0362","SM","2016-99-99",NA,"sm0359","sm0360"
"sm0363","SM","1970-99-99",NA,"sm8209","sm8210"
"sm0364","SM","1974-99-99",NA,"sm8211","sm8212"
"sm0365","SM","2022-99-99",NA,"sm0363","sm0364"
"sm0366","SM","1988-99-99",NA,"sm8213","sm8214"
"sm0367","SM","1982-99-99",NA,"sm8215","sm8216"
"sm0368","SM","2000-99-99",NA,"sm0366","sm0367"
"sm0369","SM","2022-99-99",NA,"sm0366","sm0367"
"sm0370","SM","1975-99-99",NA,"sm8217","sm0037"
"sm0371","SM","1986-99-99",NA,"sm8218","sm8219"
"sm0372","SM","2005-99-99",NA,"sm0370","sm0371"
"sm0373","SM","2009-99-99",NA,NA,NA
"sm0374","SM","2011-99-99",NA,NA,NA
"sm0375","SM","2004-99-99",NA,"sm0370","sm0371"
"sm0376","SM","2003-99-99",NA,"sm0370","sm0371"
"sm0377","SM","1979-99-99",NA,"sm0138","sm8220"
"sm0378","SM","1988-99-99",NA,"sm8221","sm8222"
"sm0379","SM","2001-99-99",NA,NA,NA
"sm0380","SM","2019-99-99",NA,"sm0377","sm0378"
"sm0381","SM","2003-99-99",NA,"sm0377","sm0378"
"sm0382","SM","2005-99-99",NA,NA,NA
"sm0383","SM","2005-99-99",NA,"sm0377","sm0378"
"sm0384","SM","1987-99-99",NA,"sm0312","sm8223"
"sm0385","SM","1975-99-99",NA,"sm0212","sm8224"
"sm0386","SM","2011-99-99",NA,"sm0384","sm0385"
"sm0387","SM","2020-99-99",NA,"sm0384","sm0385"
"sm0388","SM","2019-99-99",NA,NA,NA
"sm0389","SM","1972-99-99",NA,"sm8225","sm0325"
"sm0390","SM","1971-99-99",NA,"sm8226","sm8227"
"sm0391","SM","2009-99-99",NA,"sm0389","sm0390"
"sm0392","SM","2011-99-99",NA,"sm0389","sm0390"
"sm0393","SM","1975-99-99",NA,"sm0263","sm0364"
"sm0394","SM","1969-99-99",NA,"sm0029","sm8228"
"sm0395","SM","2011-99-99",NA,"sm0393","sm0394"
"sm0396","SM","2016-99-99",NA,NA,NA
"sm0397","SM","1998-99-99",NA,"sm0393","sm0394"
"sm0398","SM","2018-99-99",NA,"sm0393","sm0394"
"sm0399","SM","2010-99-99",NA,"sm0393","sm0394"
"sm0400","SM","1968-99-99",NA,"sm8229","sm8230"
"sm0401","SM","1986-99-99",NA,"sm0370","sm8231"
"sm0402","SM","2010-99-99",NA,"sm0400","sm0401"
"sm0403","SM","2015-99-99",NA,NA,NA
"sm0404","SM","1977-99-99",NA,"sm0046","sm8232"
"sm0405","SM","1968-99-99",NA,"sm8233","sm0411"
"sm0406","SM","1999-99-99",NA,"sm0404","sm0405"
"sm0407","SM","2013-99-99",NA,NA,NA
"sm0408","SM","2010-99-99",NA,NA,NA
"sm0409","SM","2015-99-99",NA,"sm0404","sm0405"
"sm0410","SM","1964-99-99",NA,"sm0217","sm0340"
"sm0411","SM","1987-99-99",NA,"sm0197","sm8234"
"sm0412","SM","2011-99-99",NA,NA,NA
"sm0413","SM","1966-99-99",NA,"sm0127","sm8235"
"sm0414","SM","1977-99-99",NA,"sm8236","sm8237"
"sm0415","SM","1999-99-99",NA,NA,NA
"sm0416","SM","1963-99-99",NA,"sm8238","sm0322"
"sm0417","SM","1993-99-99",NA,"sm0288","sm8239"
"sm0418","SM","2000-99-99",NA,"sm0416","sm0417"
"sm0419","SM","2022-99-99",NA,"sm0416","sm0417"
"sm0420","SM","1974-99-99",NA,"sm8240","sm8241"
"sm0421","SM","1973-99-99",NA,"sm8242","sm0462"
"sm0422","SM","1999-99-99",NA,NA,NA
"sm0423","SM","2009-99-99",NA,"sm0420","sm0421"
"sm0424","SM","1999-99-99",NA,NA,NA
"sm0425","SM","1987-99-99",NA,"sm8243","sm0294"
"sm0426","SM","1973-99-99",NA,"sm8244","sm0101"
"sm0427","SM","2003-99-99",NA,NA,NA
"sm0428","SM","2003-99-99",NA,"sm0425","sm0426"
"sm0429","SM","2006-99-99",NA,NA,NA
"sm0430","SM","2008-99-99",NA,NA,NA
"sm0431","SM","1978-99-99",NA,"sm8245","sm8246"
"sm0432","SM","1984-99-99",NA,"sm8247","sm8248"
"sm0433","SM","2021-99-99",NA,NA,NA
"sm0434","SM","1963-99-99",NA,"sm8249","sm8250"
"sm0435","SM","1992-99-99",NA,"sm0253","sm0113"
"sm0436","SM","2021-99-99",NA,"sm0434","sm0435"
"sm0437","SM","1966-99-99",NA,"sm8251","sm8252"
"sm0438","SM","1970-99-99",NA,"sm8253","sm8254"
"sm0439","SM","2017-99-99",NA,"sm0437","sm0438"
"sm0440","SM","2013-99-99",NA,"sm0437","sm0438"
"sm0441","SM","2019-99-99",NA,NA,NA
"sm0442","SM","2001-99-99",NA,"sm0437","sm0438"
"sm0443","SM","2000-99-99",NA,NA,NA
"sm0444","SM","1980-99-99",NA,"sm8255","sm8256"
"sm0445","SM","1986-99-99",NA,"sm8257","sm0213"
"sm0446","SM","2014-99-99",NA,NA,NA
"sm0447","SM","2017-99-99",NA,NA,NA
"sm0448","SM","2007-99-99",NA,NA,NA
"sm0449","SM","2005-99-99",NA,NA,NA
"sm0450","SM","2014-99-99",NA,"sm0444","sm0445"
"sm0451","SM","1980-99-99",NA,"sm0420","sm8258"
"sm0452","SM","1969-99-99",NA,"sm8259","sm8260"
"sm0453","SM","2017-99-99",NA,NA,NA
"sm0454","SM","2019-99-99",NA,"sm0451","sm0452"
"sm0455","SM","2004-99-99",NA,"sm0451","sm0452"
"sm0456","SM","2018-99-99",NA,"sm0451","sm0452"
"sm0457","SM","1970-99-99",NA,"sm8261","sm8262"
"sm0458","SM","1979-99-99",NA,"sm0354","sm0013"
"sm0459","SM","2021-99-99",NA,NA,NA
"sm0460","SM","2011-99-99",NA,"sm0457","sm0458"
"sm0461","SM","1963-99-99",NA,"sm0488","sm0238"
"sm0462","SM","1986-99-99",NA,"sm8263","sm8264"
"sm0463","SM","2003-99-99",NA,"sm0461","sm0462"
"sm0464","SM","2003-99-99",NA,"sm0461","sm0462"
"sm0465","SM","1983-99-99",NA,"sm8265","sm0030"
"sm0466","SM","1980-99-99",NA,"sm8266","sm8267"
"sm0467","SM","2013-99-99",NA,"sm0465","sm0466"
"sm0468","SM","1987-99-99",NA,"sm8268","sm8269"
"sm0469","SM","1988-99-99",NA,"sm8270","sm0385"
"sm0470","SM","1998-99-99",NA,NA,NA
"sm0471","SM","2020-99-99",NA,"sm0468","sm0469"
"sm0472","SM","2022-99-99",NA,"sm0468","sm0469"
